ID,Quote Text,Response Text,Text
GEN_sarc_1557,"They obviously didn't help us at all. They've recived billions of dollars by selling weapons to Iraq, and Russia even gave Iraq night-vision goggles during the war! Disgusting. No. You get nothing. No contract fo u.","Not only is everyone in agreement, which scares me enough, but Parcum even agrees with me. This is really shocking!!!! :)","They obviously didn't help us at all. They've recived billions of dollars by selling weapons to Iraq, and Russia even gave Iraq night-vision goggles during the war! Disgusting. No. You get nothing. No contract fo u.Not only is everyone in agreement, which scares me enough, but Parcum even agrees with me. This is really shocking!!!! :)"
GEN_sarc_1558,Apparently you've never heard of Messianic rabbis who don't buy into basic Judaism.,"  They're not Jews, and not rabbis, just like you, who are not in your right mind, and who is an authority on nothing but rubbish.","Apparently you've never heard of Messianic rabbis who don't buy into basic Judaism.  They're not Jews, and not rabbis, just like you, who are not in your right mind, and who is an authority on nothing but rubbish."
GEN_sarc_1559,I agree wiht you for the most part. however Jews ahve not suffered very much in terms of minorities like other minorities. I do think that popelpe should take advantage of the opportunities instead of just asking for more.That still doesn't change the fact that minorities are disadvantaged due to the government's actions and negligence.,"Yeah, gassing and murdering 6,000,000 Jews doesn't qualify as suffering very much.   emoticonXRolleyes   I wonder how many slaves were killed by comparison........","I agree wiht you for the most part. however Jews ahve not suffered very much in terms of minorities like other minorities. I do think that popelpe should take advantage of the opportunities instead of just asking for more.That still doesn't change the fact that minorities are disadvantaged due to the government's actions and negligence.Yeah, gassing and murdering 6,000,000 Jews doesn't qualify as suffering very much.   emoticonXRolleyes   I wonder how many slaves were killed by comparison........"
GEN_sarc_1560,"Why don't you try reading what others post then slow down and think about what they said and WHO actually said it,... before you make a fool out of yourself and waste everyone's time and bandwidth?The 12 Trillion dollar debt that I posted about (Not Archie) was to show we don't have the funds for National healthcare. We don't have the funds for Medicare, Medicaide or Social Security either.But, why am I even hopeful that you will take any of that into consideration. You don't seem to have the aptitude for it.",So what are you proposing? Death panels? Do you think we should euthanase the elderly or should we simply stop their social security payments and healthcare?,"Why don't you try reading what others post then slow down and think about what they said and WHO actually said it,... before you make a fool out of yourself and waste everyone's time and bandwidth?The 12 Trillion dollar debt that I posted about (Not Archie) was to show we don't have the funds for National healthcare. We don't have the funds for Medicare, Medicaide or Social Security either.But, why am I even hopeful that you will take any of that into consideration. You don't seem to have the aptitude for it.So what are you proposing? Death panels? Do you think we should euthanase the elderly or should we simply stop their social security payments and healthcare?"
GEN_sarc_1561,What is shown very clearly from all of these scientific interpretation of the same evidence is that there are two ways to interpret it.,"Unfortunately for you, that is not shown, the evidence points in one direction, and one direction only. That of evolution and to the fact that the flood never happened.","What is shown very clearly from all of these scientific interpretation of the same evidence is that there are two ways to interpret it.Unfortunately for you, that is not shown, the evidence points in one direction, and one direction only. That of evolution and to the fact that the flood never happened."
GEN_sarc_1562,"ask yourself this smiley, who gets life without parole ? mass muderers, first degree killers, pre meditated murderers, multiple offense rapist/killers, child abducter/rapist/murderers and convicted 3 strike violent felons. are you telling me that brutally violent repeat offenders who get off on causing human misery deserve the comforts of home as punishment for commiting these heinous crimes ? you see, i firmly believe that men can commit such terrible crimes that they forfeit their rights to breathe our air any longer. but short of the death sentance, then yes, life without parole should be hard and no fun whatsoever, and i mean ever.","You're right, why not simply kill these people in the shortest amount of time possible. I got it! We can advertise each killing (hanging, rock slaying, Guillotine, etc.) weeks in advance, kinda like moves, and show it on pay-per-view. You can buy tickets to watch the show live as well. I mean c'mon, if we're going to have the death penalty we might as well utilize in the most gruesome, cost efficient, and swift method possible. Right? That is how punishment was executed a few centuries ago.   Honestly, how you feel is how a lot of people culturally conceive such offenders. In regards to the death penalty debate, it falls along a continuum between morality and scientific reasoning.","ask yourself this smiley, who gets life without parole ? mass muderers, first degree killers, pre meditated murderers, multiple offense rapist/killers, child abducter/rapist/murderers and convicted 3 strike violent felons. are you telling me that brutally violent repeat offenders who get off on causing human misery deserve the comforts of home as punishment for commiting these heinous crimes ? you see, i firmly believe that men can commit such terrible crimes that they forfeit their rights to breathe our air any longer. but short of the death sentance, then yes, life without parole should be hard and no fun whatsoever, and i mean ever.You're right, why not simply kill these people in the shortest amount of time possible. I got it! We can advertise each killing (hanging, rock slaying, Guillotine, etc.) weeks in advance, kinda like moves, and show it on pay-per-view. You can buy tickets to watch the show live as well. I mean c'mon, if we're going to have the death penalty we might as well utilize in the most gruesome, cost efficient, and swift method possible. Right? That is how punishment was executed a few centuries ago.   Honestly, how you feel is how a lot of people culturally conceive such offenders. In regards to the death penalty debate, it falls along a continuum between morality and scientific reasoning."
GEN_sarc_1563,"what I am talking about is not a death penalty trial as we have today, but after the person has received a 100 year or more sentence. The cost would be only the method of death.","Oh that greatly changes the equation doesn't it? Very unrealistic, but for the sakes of the debate, why not? Well, alledgedly, 23 innocent people have been put to death, and for sure two unrefutable cases. I don't support killing people as a deterrent or as any means in a justice system.","what I am talking about is not a death penalty trial as we have today, but after the person has received a 100 year or more sentence. The cost would be only the method of death.Oh that greatly changes the equation doesn't it? Very unrealistic, but for the sakes of the debate, why not? Well, alledgedly, 23 innocent people have been put to death, and for sure two unrefutable cases. I don't support killing people as a deterrent or as any means in a justice system."
GEN_sarc_1564,"Anyone who looks at this situation logically should realize that at sometime in the past there must have been a time when there was less genetic damage in the genome. – and thus, longer lives. Can anyone think of time that this may have happened? I can! The Bible reports there was a time in the history of humans that lifespans were incredibly long. According to Genesis people lived to over 900 years old.",According to Genesis? Why are you trying to present that as scientific evidence? Should I present The DaVinci Code as scientific evidence? How about Darwin's On the Origin of the Species?,"Anyone who looks at this situation logically should realize that at sometime in the past there must have been a time when there was less genetic damage in the genome. – and thus, longer lives. Can anyone think of time that this may have happened? I can! The Bible reports there was a time in the history of humans that lifespans were incredibly long. According to Genesis people lived to over 900 years old.According to Genesis? Why are you trying to present that as scientific evidence? Should I present The DaVinci Code as scientific evidence? How about Darwin's On the Origin of the Species?"
GEN_sarc_1565,No kidding sherlock. When did I compare any animal to fixed wing aircraft ? It was child who made the comparison.,Insects are not birds. Get your terminology correct. Also please stop lying. It makes baby jesus cry.   ,No kidding sherlock. When did I compare any animal to fixed wing aircraft ? It was child who made the comparison.Insects are not birds. Get your terminology correct. Also please stop lying. It makes baby jesus cry.   
GEN_sarc_1566,This from the guy who let's Cheney run the government. I truly wonder what will happen if his ticker gives out. He can't even stand for any length of time - always needs a stool.,"  How do you KNOW Bush let's Cheney run the government..oh yeah, that's right, CNN/CBS told you. So you will knock one of the greatest minds this country has because he has a bad heart and can't stand for long periods of time? What a goober, so I guess Stephen Hawking should die too, huh?  ","This from the guy who let's Cheney run the government. I truly wonder what will happen if his ticker gives out. He can't even stand for any length of time - always needs a stool.  How do you KNOW Bush let's Cheney run the government..oh yeah, that's right, CNN/CBS told you. So you will knock one of the greatest minds this country has because he has a bad heart and can't stand for long periods of time? What a goober, so I guess Stephen Hawking should die too, huh?  "
GEN_sarc_1567,"ending a life that would grow into a toddler, a child, an adolescent, and an adult--basically the action of killing someone.","god, this has been argued against a thousand times. by this deffinition masterbation is killing, menstration is involentary manslauter. by this deffinition you kill someone every time you walk by a carrot without eating it.","ending a life that would grow into a toddler, a child, an adolescent, and an adult--basically the action of killing someone.god, this has been argued against a thousand times. by this deffinition masterbation is killing, menstration is involentary manslauter. by this deffinition you kill someone every time you walk by a carrot without eating it."
GEN_sarc_1568,"600? Oh really? Looks like the following scriptures are vague enough that they could apply to anything and nothing at the same time. Making vague enough comments can easily look prophetic. The fact that there aren't specifics is a key failure in your argument. If the bible was truly prophetic and scientifically accurate, terms that would easily be seen as represenativive of the natural force would be found everywhere, yet they are not. You are talking a little and making it to be far more then it is. Once again, anything vague enough can be taken for anything in any light under any condition.","Well, I guess you can refuse to see something that's pretty obvious. It's up to you.","600? Oh really? Looks like the following scriptures are vague enough that they could apply to anything and nothing at the same time. Making vague enough comments can easily look prophetic. The fact that there aren't specifics is a key failure in your argument. If the bible was truly prophetic and scientifically accurate, terms that would easily be seen as represenativive of the natural force would be found everywhere, yet they are not. You are talking a little and making it to be far more then it is. Once again, anything vague enough can be taken for anything in any light under any condition.Well, I guess you can refuse to see something that's pretty obvious. It's up to you."
GEN_sarc_1569,"To be honest, I have mixed views on the subject, but not enough interest to read pages of reporting on the disturbing events you are referring to, especially when someone considerate enough can give me the ""jist"" of what happened (THANK YOU Superlite27 for that) and at the same time help others that might browse this thread. Attack is not the only form of defence you know! emoticonXRolleyes (I'm just playing)","Yep, but those ""mixed views"" are slanted way left of center. A good offense always beats a good defense :) My guess is you are not very mature nor old? You out of high school yet?  ","To be honest, I have mixed views on the subject, but not enough interest to read pages of reporting on the disturbing events you are referring to, especially when someone considerate enough can give me the ""jist"" of what happened (THANK YOU Superlite27 for that) and at the same time help others that might browse this thread. Attack is not the only form of defence you know! emoticonXRolleyes (I'm just playing)Yep, but those ""mixed views"" are slanted way left of center. A good offense always beats a good defense :) My guess is you are not very mature nor old? You out of high school yet?  "
GEN_sarc_1570,"The topic did not change. The topic was the reasons for the French no vote which certain posters originally claimed was a vote against Chirac, and when I asked them to back it up with evidence. The only 'evidence' they could cite was that commentators said that, so it was so. When I said that I heard commentators saying that Turkey and fears of globalisation were the main reasons for the French no vote, then the same posters who had earlier claimed that the French no vote was a vote against Chirac now changed their tune and said Turkey and fears of globalisation were reasons as well. So please keep with the thread of this disucussion will you. I know its hard work for you but try to remember how this topic got started in the first place.","French like turkeys even the yanks eat turkeys. What has a turkey got to do with the French voting No! By the way, why do you spell turkey with a capital T?","The topic did not change. The topic was the reasons for the French no vote which certain posters originally claimed was a vote against Chirac, and when I asked them to back it up with evidence. The only 'evidence' they could cite was that commentators said that, so it was so. When I said that I heard commentators saying that Turkey and fears of globalisation were the main reasons for the French no vote, then the same posters who had earlier claimed that the French no vote was a vote against Chirac now changed their tune and said Turkey and fears of globalisation were reasons as well. So please keep with the thread of this disucussion will you. I know its hard work for you but try to remember how this topic got started in the first place.French like turkeys even the yanks eat turkeys. What has a turkey got to do with the French voting No! By the way, why do you spell turkey with a capital T?"
GEN_sarc_1571,"I thought the US government mostly engaged in killing young black men (or rather middle aged black men once the appeals process is over), not old people.","I guess we just haven't shaken all of our Imperialist ways. After all, we've only been away from the British Empire for a little over 200 years.:p","I thought the US government mostly engaged in killing young black men (or rather middle aged black men once the appeals process is over), not old people.I guess we just haven't shaken all of our Imperialist ways. After all, we've only been away from the British Empire for a little over 200 years.:p"
GEN_sarc_1572,"Well, as we can see from other recent posts, your reading comprehension is below high school level.I don't get it. Why do folks think lying enhances their POV?",Because their reasoning is obviously on the same level as their reading comprehension level.,"Well, as we can see from other recent posts, your reading comprehension is below high school level.I don't get it. Why do folks think lying enhances their POV?Because their reasoning is obviously on the same level as their reading comprehension level."
GEN_sarc_1573,"Also, a person has a change to run from those other things, admiittedly, a tossed rock can do damage, and if your opponent is especially hefty, a frying pan might fly a goodly distance, but it's the pure cowardly aspect of whipping out a gun that angers me, having a considerable advantage at a considerable distance.","So if you were attacked by a 250 pound man who is an 8th Degree Blackbelt, you'd prefer a fair fight?","Also, a person has a change to run from those other things, admiittedly, a tossed rock can do damage, and if your opponent is especially hefty, a frying pan might fly a goodly distance, but it's the pure cowardly aspect of whipping out a gun that angers me, having a considerable advantage at a considerable distance.So if you were attacked by a 250 pound man who is an 8th Degree Blackbelt, you'd prefer a fair fight?"
GEN_sarc_1574,"Wait! I just had a brainstorm that no one in the history of history has surely never had before. What if, just what if, the OT and NT don't actually perfectly express God's will? What if they're just books written by people!Wow, how could no one have ever thought of that before! This message brought to you by the Sarcasm Council of America. Helping to drive home obvious points for over 100 years!","That may seem like a brainstorm to you kronus, but to the enlightened, it was an obvious brainfart. emoticonXGood But I would never expect you to know the difference.","Wait! I just had a brainstorm that no one in the history of history has surely never had before. What if, just what if, the OT and NT don't actually perfectly express God's will? What if they're just books written by people!Wow, how could no one have ever thought of that before! This message brought to you by the Sarcasm Council of America. Helping to drive home obvious points for over 100 years!That may seem like a brainstorm to you kronus, but to the enlightened, it was an obvious brainfart. emoticonXGood But I would never expect you to know the difference."
GEN_sarc_1575,"You really don't know how this makes you sound? ""If you get pregnant, then I have you!""It does sound like you have issues","NAAAAA, actually it makes ME sound quite sane...I'm not denying a woman the ""right"" to have sex all she wants. THere ARE ways of having sex WITHOUT getting pregnant, I'm sure you'd agree. SO, it actually makes YOU sound like you are desperately hanging on to the ""right"" to take an innocent life just because you don't want to be inconvenienced. In Bizarro world, you might be right, but not in reality","You really don't know how this makes you sound? ""If you get pregnant, then I have you!""It does sound like you have issuesNAAAAA, actually it makes ME sound quite sane...I'm not denying a woman the ""right"" to have sex all she wants. THere ARE ways of having sex WITHOUT getting pregnant, I'm sure you'd agree. SO, it actually makes YOU sound like you are desperately hanging on to the ""right"" to take an innocent life just because you don't want to be inconvenienced. In Bizarro world, you might be right, but not in reality"
